,description,address1,address2,zip_code,city,state_code,country_code,latitude,longitude
12,Google Kirkland,Central Way Plaza,"720 4th Avenue, Ste 400",98033,Kirkland,WA,USA,,
13,Google New York,76 Ninth Avenue,4th Floor,10011,New York,NY,USA,40.74222,-74.004489
14,Google Phoenix,1551 S. Rural Road,2nd floor,85281,Tempe,AZ,USA,33.411898,-111.926263
15,Google Pittsburgh,4720 Forbes Avenue,Lower Level,15213,Pittsburgh,PA,USA,40.444528,-79.946269
16,Google San Francisco,345 Spear Street,4th Floor,94105,San Francisco,CA,USA,37.789803,-122.389757
17,Google Santa Monica,604 Arizona Avenue,,90401,Santa Monica,CA,USA,34.019282,-118.494288
18,Google Seattle,Evanston Building,"501 N. 34th Street, Suite 300",98103,Seattle,WA,USA,47.675326,-122.351397
19,Google Seattle,651 N. 34th St.,,98103,Seattle,WA,USA,47.649701,-122.350592
20,Google Washington DC,"1101 New York Avenue, N.W.",Second Floor,20005,Washington,DC,USA,38.901113,-77.027101
21,Google Melbourne,"Rialto South Tower, Level 27",525 Collins Street,3000,Melbourne,,AUS,-37.879234,145.073608
22,Google Sydney,"Levels 11 & 18, Tower 1, Darling Park",201 Sussex St.,2000,Sydney,,AUS,-34.822723,138.612396
23,Google Beijing,Tsinghua Science Park Bldg 6,No. 1 Zhongguancun East Road,100084,Beijing,,CHN,,
24,Google Guangzhou,"Tower A, 23/F, Center Plaza","161 Lin he Xi Lu, Tian He District",510620,Guangzhou,,CHN,,
25,Google Shanghai,"16F, Raffles City","No.268 Xizang Zhong Road, Huangpu District",200001,Shanghai,,CHN,,
26,Google Hong Kong,One IFC - 18/F,1 Harbour View Street,,Central,,HKG,,
27,Google Bangalore,"Prestige Sigma, No. 3, 1st Floor",Vittal Mallya Road (Grant Road),560 001,Bangalore,,IND,,
28,Google Delhi,"Tower C, Level 9",Building No. 8,122002,Gurgaon,,USA,,
29,Google Delhi (Honeybee),"No. B1/A6, First Floor",Mohan Co-operative Industrial Estate Mathura Road,110044,New Delhi,,IND,28.86999,77.122261
30,Google Hyderabad,"BLOCK A, Fourth Floor","Plot No. 14, Road NO 2",500 081,Hyderabad,,IND,,
31,Google Mumbai,264-265 Vasvani Chambers,Dr Annie Besant Road,400 025,Mumbai,,IND,,
32,Google Japan Headquarters,6F Cerulean Tower,26-1 Sakuragaoka-cho,150-8512,Tokyo,,JPN,,
33,Google Osaka,"9F, Edobori Center Building",2-1-1 Edobori,550-0002,Osaka,,USA,,
34,Google Seoul,"22nd Floor, Gangnam Finance Center",737 Yeoksam-dong,135 984,Seoul,,PRK,,
35,Google Singapore,Level 25 North Tower,One Raffles Quay,048583,Singapore,,SGP,,
36,Google Taipei,"Level 73, Taipei 101 Tower","7 Xinyi Road, Sec. 5,",110,Taipei,,TWN,,
37,Google Aarhus,Aabogade 15,8200 Aarhus N,,,,DNK,56.171882,10.187799
38,Google Copenhagen,Larsbjornsstraede 3,1454 Copenhagen K.,,,,DNK,,
39,Google Helsinki,Luna House,Mannerheimintie 12 B,,Helsinki,,FIN,,
40,Google Paris,38 avenue de l'OpÃƒÂ©ra,,75002,Paris,,FRA,48.869606,2.3327489999999997
41,Google Hamburg,ABC-Strasse 19,,20354,Hamburg,,DEU,53.554052,9.985266
42,Google Dublin,Gordon House,Barrow Street,4,Dublin,,IRL,53.339914,-6.234424
43,Google Italy,Corso Europa 2,,20122,Milan,,ITA,45.46381,9.195978
44,Google Amsterdam,Claude Debussylaan 34,Vinoly Mahler 4,1082,Amsterdam,,NLD,52.337495,4.871464
45,Google Oslo,C.J. Hambros plass 2C,,N-0164,Oslo,,NOR,59.915848,10.741047
46,Google Trondheim,Beddingen 10,,7014,Trondheim,,NOR,63.435324,10.412428
47,Google KrakÃƒÂ³w,ul. Krupnicza 16,,31-123,KrakÃƒÂ³w,,POL,50.063281,19.929806
48,Google WrocÃ…â€šaw,"Bema Plaza, V pietro",Plac Gen. Jozefa Bema nr 2,50-265,Wroclaw,,POL,51.116574,17.041942
49,Google Moscow,7 Balchug st.,,115035,Moscow,,RUS,,
50,Google St. Petersburg,Nevsky 25,Nevsky Prospect 25,191186,St. Petersburg,,RUS,,
51,Google Madrid,Torre Picasso,Plaza Pablo Ruiz Picasso 1,28020,Madrid,,ESP,,
52,Google LuleÃƒÂ¥ Sweden,Aurorum 2,,977 75,LuleÃƒÂ¥,,SWE,65.617491,22.126255
53,Google Stockholm,MÃƒÂ¤ster Samuelsgatan 60,,111 21,Stockholm,,SWE,59.332344,18.060162
54,Google ZÃƒÂ¼rich,Brandschenkestrasse 110,,8002,ZÃƒÂ¼rich,,CHE,47.36554,8.524864
55,Google London,Belgrave House,76 Buckingham Palace Road,SW1W 9TQ,London,,GBR,,
56,Google Manchester,Peter House,Oxford Street,M1 5AN,Manchester,,GBR,53.473606,-2.250166
57,Google Montreal,1000 rue de la Gauchetiere Ouest,Suite 2449,H3B4W5,Montreal,,CAN,45.498588,-73.567044
58,Google Toronto,"BCE Place, TD Canada Trust Tower","161 Bay Street, 27th Floor",M5J 2S1,Toronto,,CAN,,
59,Google Waterloo,340 Hagey Blvd,2nd Floor,N2L 6R6,Waterloo,,CAN,43.474704,-80.546381
60,Google Buenos Aires,"Alicia M. De Justo 350, 2Ã‚Âº",Puerto Madero,C1107AAH,Buenos Aires,,ARG,,
61,Google Sao Paulo,Av. Brigadeiro Faria Lima,"nÃ‚Âº 3900 5th floor, Itaim",04538-132,Sao Paulo,,BRA,-23.590463,-46.681494
62,Google Mexico,Blvd. Manuel Avila Camacho #36,"Torre Esmeralda 2, Piso 12, Lomas de Chapultepec",1100,Mexico,,MEX,19.507519,-99.030156
63,Google Haifa,"Building 30, MATAM, Advanced Technology Center",PO Box 15096,31905,Haifa,,ISR,,
64,Google Tel Aviv,Levinstein Tower,23 Menachem Begin Road,66183,Tel-Aviv,,ISR,,
65,Google Istanbul,Kanyon Ofis Binasi Kat. 6,Buyukdere Cad. No. 185,34394,Istanbul,,TUR,,
66,Google Dubai,"First Floor, Building No 17",Dubai Internet City,1,Dubai,,ARE,,
0,Jajah HQ,2513 Charleston Road,Suite 102,94043,Mountain View,CA,USA,37.4233896,-122.0899512
0,Global HQ,23-29 Rives de Clausen,,L-2165,Luxembourg City,,LUX,51.518132,-0.131916
1,US office,3210 Porter Drive,,94304,Palo Alto,CA,USA,,
2,London Office,2 Stephen Street,,W1T 1AN,London,,GBR,,
0,Corporate Headquarters,901 Cherry Ave,,94066,San Bruno,CA,USA,37.627971,-122.426804
0,,1975 pads rd,Suite 3000,90071,Los Angeles,CA,USA,34.051409,-118.254558
0,Headquarters,30 Ben Gurion St.,,52573,Ramat Gan,,ISR,31.046051,34.851612
0,Livestream HQ,"111 8th Avenue, #1509",,10011,New York,NY,USA,40.726155,-73.995625
0,San Francisco Office,410 Townsend,Suite 400,94107,San Francisco,CA,USA,37.392936,-122.07948
1,Los Angeles Office,6725 W Sunset Blvd,Suite 320,90028,Los Angeles,CA,USA,,
2,Budapest Office,,,,Budapest,,HUN,,
0,,131 Varick St,,10013,NYC,NY,USA,40.801358,-74.3372
0,,520 Broadway,10th Floor,10012,New York,NY,USA,40.722655,-73.99873
0,Robert Noyce Building,2200 Mission College Blvd,,95054,Santa Clara,CA,USA,37.384949,-121.96761
0,,"48389 Fremont Blvd., Suite #110",,94538,Fremont,CA,USA,37.465645,-121.932202
0,,"2001 West Main St., Suite 255",,06902,Stamford,CT,USA,41.049051,-73.563878
0,,,,,San Mateo,CA,USA,,
0,,,,94301,Palo Alto,CA,USA,37.44296,-122.151198
0,,3131 Elliott Avenue Suite 600,,98121,Seattle,WA,USA,47.617682,-122.357242
0,,"1459 18th Street, Suite 142",,94107,San Francisco,CA,USA,37.762541,-122.397224
0,HQ,2415 3rd St,,94107,San Francisco,CA,USA,37.757758,-122.388243
0,,,,,Oxford,,GBR,51.752276,-1.255824
0,,,,,,CA,USA,37.269175,-119.306607
0,,,,,Seattle,WA,USA,47.620716,-122.347533
0,QLL COMMUNICATIONS,P.O. BOX 150,,13457,SCHUYLER LAKE,NY,USA,37.488336,-122.217964
0,,1110 Burlingame Ave,Suite 300,94010,Burlingame,CA,USA,37.559287,-122.302262
0,,16161 Ventura Blvd.,Suite C PMB 461,91436,Encino,CA,USA,37.269175,-119.306607
0,,374 Brannan St.,,94107,San Francisco,CA,USA,37.780716,-122.393913
0,,,,,Cambridge,MA,USA,42.375392,-71.118487
1,iSkoot HQ,501 2nd Street,Suite 216,94107,San Francisco,CA,USA,37.780134,-122.396744
0,,,,,Vancouver,,CAN,49.263588,-123.138565
0,,,,,Moscow,,RUS,55.755786,37.617633
0,,1855 South Grant Street,3rd Floor,94402,San Mateo,CA,USA,37.553385,-122.302149
0,,Harderhook 22,,,46395 Bocholt,,DEU,51.808933,6.553452
0,Head Quarters,167 2nd Ave,,94401,San Mateo,CA,USA,37.421621,-122.137444
0,,East Wall Road,Docklands Innovation Park,,Dublin,,IRL,53.354997,-6.229255
0,iContact,5221 Paramount Parkway,,27560,Morrisville,NC,USA,,
0,,"500 Airport Blvd., Suite 400",,94010,Burlingame,CA,USA,37.590339,-122.341715
0,,1 Market Street,"19th Floor, Spear Tower",94105,San Francisco,CA,USA,37.793819,-122.395089
0,Headquarters,717 Market Street,Suite 300,94103,San Francisco,CA,USA,37.7870842,-122.4038047
1,New York Office,"594 Broadway, Suite 407",,10012,New York,NY,USA,,
2,Boston Office,"374 Congress St., SUITE 304",,02210,Boston,MA,USA,,
0,,5737 Kanan Rd.,,91301,Agoura Hills,CA,USA,34.155211,-118.756618
0,,55 rue Servan,,75011,Paris,,FRA,48.862825,2.381836
0,,706 Mission Street,7th Floor,94103,San Francisco,CA,USA,37.786183,-122.402195
0,,"Lannrotinkatu 32 D 51, 00180",,,Helsinki,,FIN,60.16377,24.93105
0,,Conalgo inc. 119 Nipigon Ave.,,M2M 2W5,"Toronto, Ontario",,CAN,,
0,,"3160 De La Cruz Blvd., #202",,95054,Santa Clara,CA,USA,37.380101,-121.940749
0,,315 1st Avenue S,Floor 3,98104,Seattle,WA,USA,47.599925,-122.334264
1,,159 Jackson Street,,98104,Seattle,WA,USA,,
0,,,,,Los Angeles,CA,USA,34.052187,-118.243425
0,Arts & Crafts,"Damrak 70, 254",,1012LM,Amsterdam,,NLD,52.3745228,4.8948623
0,,Oosterdokskade 5,,1017TE,Amsterdam,,NLD,52.375595,4.908556
0,,,,,Redwood City,CA,USA,37.476479,-122.221717
0,,,,SO18 1NH,Southampton,,GBR,50.9444598,-1.3610845
0,,,,,San Francisco,CA,USA,37.775196,-122.419204
0,,2980 Bowers Ave.,,95051,Santa Clara,CA,USA,37.374998,-121.977853
0,,,,94086,Sunnyvale,CA,USA,37.36965,-122.02421
0,,"200 West Thomas Street, Suite 300",,98119,Seattle,WA,USA,47.620982,-122.359397
0,,,,,Paris,,FRA,,
1,,,,,,,USA,,
2,,,,,London,,GBR,,
3,,,,,,,JPN,,
0,Headquarters,26 W 17th Street,2nd Floor,10011,New York,NY,USA,40.7516611,-73.9843328
1,Los Angeles Office,1212 Abbott Kinney Blvd,Suite B,90291,Venice,CA,USA,33.991101,-118.468707
2,San Francisco Office,607 Market St,Suite 5,94105,San Francisco,CA,USA,37.7891086,-122.4016144
3,UK Office,212 Picadilly,,W1J 9HF,London,,GBR,51.5094731,-0.13562349999999998
0,,585 Broadway,Suite A,94063,Redwood City,CA,USA,37.484619,-122.206893
0,,,,90401,Santa Monica,CA,USA,34.0126379,-118.495155
0,,795 Folsom St,1st Floor,94114,San Francisco,CA,USA,37.758113,-122.414689
0,,489 Clementina St.,,94103,San Francisco,CA,USA,37.7791761,-122.4058887
0,Paris,"114, rue Cardinet",,75017,Paris,,FRA,48.870806,2.34668
1,San Francisco,49 Geary,Suite 234,94108,San Francisco,CA,USA,,
0,,199 Fremont St.,12th Floor,94105,San Francisco,CA,USA,37.789268,-122.395184
0,,301 Brannan Street,6th Floor,94107,San Francisco,CA,USA,37.781427,-122.392144
0,,425 Bush Street,Suite 200,94108,San Francisco,CA,USA,37.782103,-122.401116
0,HQ,701 1st ave.,,94089,Sunnyvale,CA,USA,37.418531,-122.025485
0,,163 Freelon Street,646-487-6380,94107,San Francisco,CA,USA,37.778076,-122.397977
0,,,,,,,USA,37.09024,-95.712891
0,,12587 Fair Lakes Circle,Suite 252,22033,Fairfax,VA,USA,37.09024,-95.712891
0,,2033 6th Avenue,Suite 308,98121,Seattle,WA,USA,47.614653,-122.338793
0,,53 S Knoll Rd,,94941-2464,Mill Valley,CA,USA,37.90077,-122.511687
0,,20 W Kinzie,9th Floor,60610,Chicago,IL,USA,41.889474,-87.628912
0,,310 Villa Street,,94041,Mountain View,CA,USA,37.391502,-122.073463
0,,,,,Paris,,FRA,48.856667,2.350987
0,,1800 Seaport,,94063,Redwood City,CA,USA,37.5108541,-122.2013557
0,,"555 De Haro Street, #350",,,San Francisco,CA,USA,37.762681,-122.400909
0,Headquarters,1825 S. Grant St.,Suite 850,94402,San Mateo,CA,USA,,
0,,8313 Greenway Blvd Suite 100,,53562,Middleton,WI,USA,43.090756,-89.522805
0,,12222 Merit Drive Suite 120,,75251,Dallas,TX,USA,32.914662,-96.771281
0,,731 Market St. 5th Floor,,94103,San Francisco,CA,USA,37.779026,-122.40184
0,,"3, rue Crespin du Gast",,75011,Paris,,FRA,48.866323,2.381514
0,,"900 Kearny St, Suite 299",,94133,San Francisco,CA,USA,37.796396,-122.404869
0,Headquarters,215 Castro Street,3rd Floor,94041,Mountain View,CA,USA,37.393679,-122.079017
1,San Francisco,"101 New Montgomery Street, 5th Floor",,94105,San Francisco,CA,USA,,
2,Los Angeles,"2525 Main Street, Suite 107",,90405,Santa Monica,CA,USA,,
3,New York,"45 E. 20th Street, 12th Floor",,10003,New York,NY,USA,,
4,Chicago,"311 W. Superior Street, Suite 209",,60654,Chicago,IL,USA,,
0,HQ,651 Brannan,Suite 110,94107,San Francisco,CA,USA,37.779507,-122.39071
0,,101 Elliott Ave. West,Suite 120,98119,Seattle,WA,USA,47.618599,-122.358484
0,HQ,2029 Stierlin Ct,,94043,Mountain View,CA,USA,37.423258,-122.073635
0,HQ,2030 Addison St.,Suite 620,,Berkeley,CA,USA,37.870744,-122.269259
0,,76 Avenue de la LibertÃ©,,1930,Luxembourg,,LUX,49.6026778,6.1329985
0,HQ,5 Palo Alto Sq Ste 220,,94306-2123,Palo Alto,CA,USA,37.437328,-122.159928
0,HQ,4440 El Camino Real,,94022,Los Altos,CA,USA,37.425801,-122.143701
0,,"1605 Boylston Ave, Suite 202",,98122,Seattle,WA,USA,47.615313,-122.323408
0,World Headquarters,8800 W Sunset Blvd,,90069,West Hollywood,CA,USA,34.0906602,-118.3835957
0,,,,,San Diego,CA,USA,32.718834,-117.163841
0,Headquarters,,,02116,Boston,MA,USA,42.350571,-71.076869
0,,950 Tower Lane,Suite 1788,94404,Foster City,CA,USA,37.561877,-122.325248
0,,654 High Street,#200,94301,Palo Alto,CA,USA,37.443058,-122.161674
0,,640 W. California Ave.,Suite 220,94041,Sunnyvale,CA,USA,37.382162,-122.036301
0,,,,,San Francisco,CA,USA,37.775196,-122.419204
1,,,,,New York,NY,USA,40.7143528,-74.0059731
0,,2025 1st Ave,Suite 600,98121,Seattle,WA,USA,47.603122,-122.333253
0,,,,94041,Mountain View,CA,USA,37.40047,-122.072981
0,,,,,Tel Aviv,,ISR,32.0554,34.7595
0,,,,,Geneva,,CHE,46.20381,6.139959
0,,1550 Bryant Street,Suite 890,94103,San Francisco,CA,USA,37.775196,-122.419204
0,,7420 Jager Ct,,45230,Cincinnati,OH,USA,39.06685,-84.351532
0,,103 W. Main Street,,22902,Charlottesville,VA,USA,38.030823,-78.48158
0,,1875 South Grant Street,Suite 800,,San Mateo,CA,USA,37.553121,-122.301534
0,,700 Airport Blvd,,94010,Burlingame,CA,USA,,
0,,,,94107,San Francisco,CA,USA,37.7618242,-122.3985871
0,,12626 High Bluff Drive,Suite 100,92130,San Diego,CA,USA,32.872081,-117.206292
1,,5757 Wilshire Blvd.,Suite 500,90036,Los Angeles,CA,USA,,
0,The ACTIVE Network,"10182 Telesis Court,",Suite 100,92121,San Diego,CA,USA,39.9195028,-105.1110024
0,,60 E. 3rd Ave.,Suite 410,94410,San Mateo,CA,USA,37.563585,-122.324621
0,,901 Marshall Street,Suite 200,94063,Redwood City,CA,USA,37.479952,-122.178557
0,HQ,370 San Aleso Ave,Ste. 200,94085,Sunnyvale,CA,USA,37.4219165,-122.0780632
0,,1840 Embarcadero Road,,94303,Palo Alto,CA,USA,37.451958,-122.116026
0,,Scripps Networks,P.O. Box 51850,37950,Knoxville,TN,USA,37.09024,-95.712891
0,,,,94109,,CA,USA,37.796164,-122.420903
0,,,,94107,San Francisco,CA,USA,37.76785,-122.392861
0,,P.O. Box 1749,,98070,Vashon,WA,USA,47.420728,-122.450942
0,,21021 Ventura Blvd.,Suite 220,91364,Woodland Hills,CA,USA,34.184598,-118.601532
0,,,,90036,,CA,USA,34.070436,-118.350486
0,,14600 Winchester Blvd.,,95032,Los Gatos,CA,USA,37.255118,-121.96533
0,"GoingOn Networks, Inc.",450 Sansome Street,12th Floor,94111,San Francisco,CA,USA,37.782263,-122.392142
0,,208 Utah St,,94103,San Francisco,CA,USA,37.766909,-122.406676
0,Vast San Francisco,560 Sutter St.,Suite 300,94108,San Francisco,CA,USA,37.787183,-122.397759
1,Vast Austin,200 E. 6th Street,Suite 201,78701,Austin,TX,USA,,
0,,1901 Fort Myer Drive,,22209,Arlington,VA,USA,38.897428,-77.072003
0,,150 California Street,Suite 1000,94111,San Francisco,CA,USA,37.793703,-122.398479
0,,"35 Miller ave, suite 183",,94941,Mill Valley,CA,USA,37.905544,-122.547445
0,,,,,New York,NY,USA,40.757929,-73.985506
0,,"Lim Kwang B/D, 257","Migeun-dong, Seodaemun-gu",120-020,Seoul,,KOR,,
0,PhotoBox HQ,Bridge House,63-65 North Wharf Road,W2 1LA,London,,GBR,,
0,,,,,Mountain View,CA,USA,37.40047,-122.072981
0,,211 Fort Pitt Blvd,2nd Floor,15222,Pittsburgh,PA,USA,40.437985,-80.004195
0,,655 High Street,,94301,Palo Alto,CA,USA,37.442949,-122.1615
0,Head Office,3900 N Capital of Texas Hwy,,78746,Austin,TX,USA,30.407545,-97.717667
0,,,,,Dallas,TX,USA,32.781078,-96.797111
0,,311 Ray Street,,94566,Pleasanton,CA,USA,37.6637279,-121.8731805
1,One Freedom Drive,11951 Freedom Drive,13 FL,20190,Reston,VA,USA,38.9590083,-77.3592746
2,,10 Margaret Street,,W1W 8RL,London,,GBR,51.5170385,-0.13947589999999999
0,,58 Marsh Wall Regatta House,,E14 9TP,London,,GBR,,
0,US Office,22 4th Street,6th Floor,94103,San Francisco,CA,USA,37.779558,-122.393041
1,UK Office,145-157 St John Street,2nd Floor,EC1V 4PY,London,,GBR,51.527099,-0.104408
0,,14 Elgin Crescent,,,London W11 2HX,,GBR,51.514935,-0.205349
0,Corporate Headquarters,"4340 Stevens Creek Blvd, Suite 101",,95129,San Jose,CA,USA,37.321798,-121.979453
1,London Office,,,,London,,GBR,51.500152,-0.126236
0,,"2002 156th Avenue NE, Suite 200",,98007,Bellevue,WA,USA,,
0,,55 Second Street,Suite 400,94105,San Francisco,CA,USA,37.788668,-122.400558
0,,Via Berti 137,,48012,Bagnacavallo,,ITA,44.418166,11.978686
0,"San Francisco, USA",P.O. Box 193152,,94119-3152,San Francisco,CA,USA,37.7753,-122.4186
0,Headquarters,"295 Devonshire Street, 4th floor",,02110,Boston,MA,USA,42.340889,-71.051931
1,New York Office,"450 Seventh Ave, Ste 209",,10011,New York,NY,USA,40.739833,-73.993158
2,Los Angeles Office,11601 Wilshire Blvd,,90025,Los Angeles,CA,USA,34.050887,-118.459995
0,,30 North Racine Avenue #200,,60607,Chicago,IL,USA,41.8892178,-87.6557234
0,,,,,,,JPN,36.204824,138.252924
0,,177 Broad St. 6th Floor,,06901,Stamford,CT,USA,41.038155,-73.558082
1,Headquarters,7501 N. Capital of Texas Hwy,Building B,78731,Austin,TX,USA,,
0,,855 Oak Grove Ave.,Suite 100,94025,Menlo Park,CA,USA,37.451026,-122.18676
0,,2225 E. Bayshore Rd.,Suite 200,94303,Palo Alto,CA,USA,37.774321,-122.415375
0,,"2955 Campus Drive, Suite 100",,94403,San Mateo,CA,USA,37.536172,-122.327323
0,,"14000 Quail Springs Parkway, Suite 3600",,73134,Oklahoma City,OK,USA,35.612679,-97.5736
0,Corporate Headquarters,"1280 Coast Village Circle, Suite B",,93108,Montecito,CA,USA,34.42071,-119.641821
0,,"Kwiqq, Sussex Innovation Centre, U. of Sussex",,BN1 9SB,Brighton,,GBR,,
0,,8 Winter St.,6th Floor,02108,Boston,MA,USA,42.355672,-71.060864
0,,"134 W. 29th St, 5th Floor",,10001,New York,NY,USA,,
0,,2217 Longview Dr.,,15601,Greensburg,PA,USA,40.30305,-79.462703
0,,,,,San Mateo,CA,USA,37.55909,-122.321836
0,San Francisco,60 Broadway,,94111,San Francisco,CA,USA,37.787092,-122.399972
1,Huntsville,150 West Park Loop NW,,35806,Huntsville,AL,USA,,
0,,2955 Campus Dr,,94403,San Mateo,CA,USA,37.536172,-122.327323
0,,9 Locust Ave.,,94941,Mill Valley,CA,USA,37.898575,-122.537302
0,Global Headquarters,Keizersgracht 585,,1017 DR,Amsterdam,,NLD,52.3640933,4.8919457
